id,coin_id,coin_name,coin_symbol,date_event,created_date,title,description,category_id,category_name,proof,source,is_hot,vote_count,positive_vote_count,percentage,can_occur_before,load_date
10024,carvertical,carVertical,CV,2019-01-31,2018-03-13 13:22:26,API Product Launch,API product planned to launch around January 2019.,1,Release,https://coinmarketcal.com/images/proof/27d6b6bb1ff66f518a9f79b664f97244.png,https://www.carvertical.com/#timeline,False,88,87,99,True,2018-03-26 00:03:29
9811,ubiq,Ubiq,UBQ,2019-01-31,2018-03-08 17:39:55,ESCH Airdrop #4,Escher token distribution round 4.,8,Airdrop,https://coinmarketcal.com/images/proof/0653ff431fa8fd4eee636376d6f80d98.jpeg,https://blog.ubiqsmart.com/ubiq-quarterly-report-march-2018-8ac54ca3eb78,False,14,10,71,True,2018-03-26 00:03:29
10552,poet,Po.et,POE,2019-02-28,2018-03-24 10:29:12,E-book Registry,Po.et platform is set to release an open source e-book metadata format similar to but less expensive than today's ISBN codes.,1,Release,https://coinmarketcal.com/images/proof/6b7a554b5cd6aa80389e7f540b7ade6b.png,https://www.po.et/roadmap,False,3,3,100,True,2018-03-26 00:03:29
10552,poet,Po.et,POE,2019-02-28,2018-03-24 10:29:12,E-book Registry,Po.et platform is set to release an open source e-book metadata format similar to but less expensive than today's ISBN codes.,7,Other,https://coinmarketcal.com/images/proof/6b7a554b5cd6aa80389e7f540b7ade6b.png,https://www.po.et/roadmap,False,3,3,100,True,2018-03-26 00:03:29
10552,poet,Po.et,POE,2019-02-28,2018-03-24 10:29:12,E-book Registry,Po.et platform is set to release an open source e-book metadata format similar to but less expensive than today's ISBN codes.,13,Roadmap,https://coinmarketcal.com/images/proof/6b7a554b5cd6aa80389e7f540b7ade6b.png,https://www.po.et/roadmap,False,3,3,100,True,2018-03-26 00:03:29
6798,aigang,Aigang,AIX,2019-03-31,2018-01-21 13:28:02,V3.0 Platform Release,Release v3.0. Insurance Investments OTC trading platform Insurance products development SDK.,1,Release,https://coinmarketcal.com/images/proof/e5de482ae02fa9ed5b57277071280c89.png,https://aigang.network/#roadMap,False,28,24,86,True,2018-03-26 00:03:29
10033,blockport,Blockport,BPT,2019-03-31,2018-03-13 13:47:48,BPT 3.0 Full Release,Blockport 3.0 will be fully released for all members supporting most popular cryptocurrencies and tokens.,1,Release,https://coinmarketcal.com/images/proof/9924e11880a4f9b9d54d1af8ec6919aa.png,https://www.blockport.io/,False,18,18,100,True,2018-03-26 00:03:29
9841,iostoken,IOStoken,IOST,2019-03-31,2018-03-09 11:26:05,V0.9 Hermes,Deploying IOSVM to the testnet.,1,Release,https://coinmarketcal.com/images/proof/d9fb42480b9384109754be0077400f32.png,https://docsend.com/view/rwgpdxx,False,18,16,89,True,2018-03-26 00:03:29
8308,iungo,Iungo,ING,2019-03-31,2018-02-09 12:28:43,Multi Cell Service,Multi cell service gateway communications and independent providers scale globally.,1,Release,https://coinmarketcal.com/images/proof/c1ab896683991c60a14713ce85d62660.png,https://iungo.network,False,8,7,88,True,2018-03-26 00:03:29
10559,nucleus-vision,Nucleus Vision,NCASH,2019-03-31,2018-03-24 10:16:35,North American Launch,The launch of Nucleus' product in North America is scheduled for Q1 2019 with an estimated 25000 ION sensors deployed.,1,Release,https://coinmarketcal.com/images/proof/2ed6b9ad9d811eeb9b91b9df9a773045.png,https://nucleus.vision/roadmap,False,5,5,100,True,2018-03-26 00:03:29
10468,exrnchain,EXRNchain,EXRN,2019-03-31,2018-03-22 20:27:58,EXRNchain Alpha Release,Alpha release of EXRNchain 0.1 on the testnet. Alpha testing audition of issues.,1,Release,https://coinmarketcal.com/images/proof/88151da78a7b9a0092983ef039aebf51.png,https://exrnchain.com/,False,0,0,0,True,2018-03-26 00:03:29
3217,quantstamp,Quantstamp,QSP,2019-04-30,2017-12-20 17:43:20,Network Launch,QSP audit network launch as described in the whitepaper,1,Release,https://coinmarketcal.com/images/proof/55cc813859a79217d38c039955cae88f.png,https://quantstamp.com/,True,271,255,94,True,2018-03-26 00:03:29
6799,aigang,Aigang,AIX,2019-06-30,2018-01-21 13:28:12,V4.0  Platform Release,Release v4.0. Fully autonomous Insurance DAO.,1,Release,https://coinmarketcal.com/images/proof/62ea0c5436e88a3dfde55ae04c4eeea8.png,https://aigang.network/#roadMap,False,26,23,88,True,2018-03-26 00:03:29
9843,iostoken,IOStoken,IOST,2019-06-30,2018-03-09 11:34:22,Security Audit,Testing and security audit of the IOS network.,10,Announcement/News,https://coinmarketcal.com/images/proof/1c438e35b227984548596030afa2a6ae.png,https://docsend.com/view/rwgpdxx,False,19,15,79,True,2018-03-26 00:03:29
9843,iostoken,IOStoken,IOST,2019-06-30,2018-03-09 11:34:22,Security Audit,Testing and security audit of the IOS network.,13,Roadmap,https://coinmarketcal.com/images/proof/1c438e35b227984548596030afa2a6ae.png,https://docsend.com/view/rwgpdxx,False,19,15,79,True,2018-03-26 00:03:29
8309,iungo,Iungo,ING,2019-06-30,2018-02-09 12:29:38,Secure Layer,Secure layer overlay from router to destination via optional VPN services providing enhanced security anonymity and freedom from censorship,1,Release,https://coinmarketcal.com/images/proof/a7cc47f8ea158fdc189f838c9a36b99d.png,https://iungo.network,False,10,7,70,True,2018-03-26 00:03:29
10469,exrnchain,EXRNchain,EXRN,2019-06-30,2018-03-23 15:29:19,EXRNchain Beta Release,Beta version of EXRNchain is released on the public EXRT testnet connecting with public testnets of other blockchains.,1,Release,https://coinmarketcal.com/images/proof/e53d6c44d91da391bd6fecad0ab9548c.png,https://exrnchain.com/,False,0,0,0,True,2018-03-26 00:03:29
9845,iostoken,IOStoken,IOST,2019-09-30,2018-03-09 11:36:22,V1.0 Athena,Official release of the IOS network.,1,Release,https://coinmarketcal.com/images/proof/772a3d9122ebefc4d0176b463e1ff590.png,https://docsend.com/view/rwgpdxx,False,19,17,89,True,2018-03-26 00:03:29
9846,iostoken,IOStoken,IOST,2019-12-31,2018-03-09 11:39:31,DApps Launch,DApps launched to IOS network.,1,Release,https://coinmarketcal.com/images/proof/42ad40e3e595a90eb6d54448b9069f2f.png,https://docsend.com/view/rwgpdxx,False,18,16,89,True,2018-03-26 00:03:29
9847,iostoken,IOStoken,IOST,2019-12-31,2018-03-09 11:40:36,Network Optimization,Optimization with Machine Learning Implementation.,7,Other,https://coinmarketcal.com/images/proof/1eb8b2b4294c9b2f40b64e60b7074ee8.png,https://docsend.com/view/rwgpdxx,False,20,17,85,True,2018-03-26 00:03:29
10029,oyster,Oyster,PRL,2019-12-31,2018-03-13 13:37:37,JavaScript DApps,After the web node mesh net has matured decentralized JavaScript applications can be easily written and executed on the Oyster network.,1,Release,https://coinmarketcal.com/images/proof/3718ae4374a266499f7a09e1eb9a7196.png,https://oysterprotocol.com/assets/img/oyster-roadmap-v3.png,False,11,11,100,True,2018-03-26 00:03:29
10029,oyster,Oyster,PRL,2019-12-31,2018-03-13 13:37:37,JavaScript DApps,After the web node mesh net has matured decentralized JavaScript applications can be easily written and executed on the Oyster network.,10,Announcement/News,https://coinmarketcal.com/images/proof/3718ae4374a266499f7a09e1eb9a7196.png,https://oysterprotocol.com/assets/img/oyster-roadmap-v3.png,False,11,11,100,True,2018-03-26 00:03:29
8310,iungo,Iungo,ING,2019-12-31,2018-02-09 12:30:21,B2B Partnerships,Business partnerships with legacy Enterprises and new DAOs. Expansion through integration/synergies with other Dapps.,11,Partnership,https://coinmarketcal.com/images/proof/f31691fcbcd56ffef3f05b902fb753c4.png,https://iungo.network,False,14,9,64,True,2018-03-26 00:03:29
10025,high-performance-blockchain,High Performance Blockchain,HPB,2019-12-31,2018-03-13 13:26:51,V2.0 Launch,After two years of development HPB will launch the official version.,1,Release,https://coinmarketcal.com/images/proof/1197b688e0b51302b2b57bb66fdac839.png,http://www.gxn.io/en.html,False,8,6,75,True,2018-03-26 00:03:29
7550,campuscoin,CampusCoin,CMPCO,2020-12-31,2018-01-29 08:07:40,Campuscoin ATMs,Installation of CampusCoin ATMs will be available allowing nearly instant direct transfers between CampusCoin and fiat currency,7,Other,https://coinmarketcal.com/images/proof/d134dfb7b3f069d0216230fd77c83a92.png,https://www.campuscoinproject.org/roadmap/,False,55,51,93,True,2018-03-26 00:03:29
3221,feathercoin,Feathercoin,FTC,2021-07-06,2018-01-09 10:44:16,Halving,,12,Halving,https://coinmarketcal.com/images/proof/ca7a3983513391286725010e746ed0a7.jpeg,https://www.feathercoin.com/,False,88,58,66,False,2018-03-26 00:03:29
850,kucoin-shares,KuCoin Shares,KCS,2021-09-01,2018-01-10 08:10:32,70M locked KCS released,The 70M KCS issued by the founders in the first phase should be subject to a four-year lock-up period from Sep 2nd 2017 to Sep 2nd 2021.,7,Other,https://coinmarketcal.com/images/proof/93f3aff239a7b1c3cbbb6c1526c89ab7.png,https://assets.kucoin.com/kucoin_whitepaper_en.pdf,False,72,49,68,False,2018-03-26 00:03:29
